"filename", "language", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\index.html", "HTML", 0, 0, 0, 11362, 30, 755, 12147
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\accordion.8799675460c73eb48972.bundle.min.js", "JavaScript", 179, 0, 0, 0, 1, 1, 181
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\frontend-modules.min.js", "JavaScript", 3514, 0, 0, 0, 1, 1, 3516
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\frontend.min.js", "JavaScript", 1911, 0, 0, 0, 1, 2, 1914
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\lightbox.94b920846d1e37cafb78.bundle.min.js", "JavaScript", 1225, 0, 0, 0, 1, 1, 1227
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\text-editor.2c35aafbe5bf0e127950.bundle.min.js", "JavaScript", 64, 0, 0, 0, 1, 1, 66
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\webpack.runtime.min.js", "JavaScript", 239, 0, 0, 0, 1, 1, 241
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\animations\animations.min.css", "CSS", 0, 1154, 0, 0, 0, 1, 1155
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\dialog\dialog.min.js", "JavaScript", 549, 0, 0, 0, 2, 1, 552
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\eicons\css\elementor-icons.min.css", "CSS", 0, 1409, 0, 0, 1, 1, 1411
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\share-link\share-link.min.js", "JavaScript", 121, 0, 0, 0, 0, 1, 122
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\swiper\css\swiper.min.css", "CSS", 0, 464, 0, 0, 0, 1, 465
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\lib\waypoints\waypoints.min.js", "JavaScript", 458, 0, 0, 0, 0, 1, 459
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\elementor-scripts.js", "JavaScript", 237, 0, 0, 0, 47, 21, 305
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\elementor-widgets.js", "JavaScript", 257, 0, 0, 0, 5, 10, 272
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\lib\isotope.pkgd.min.js", "JavaScript", 1807, 0, 0, 0, 9, 2, 1818
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\neuros-plugin\js\lib\slick.min.js", "JavaScript", 1894, 0, 0, 0, 16, 2, 1912
