Date : 2024-07-03 15:10:33
Directory : d:\Websites\adorable-capybara-ce7e7f.netlify.app
Total : 55 files,  116516 codes, 589 comments, 3167 blanks, all 120272 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         16 |     65,867 |        261 |      2,253 |     68,381 |
| JavaScript |         37 |     39,286 |        298 |        159 |     39,743 |
| HTML       |          1 |     11,362 |         30 |        755 |     12,147 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |         55 |    116,516 |        589 |      3,167 |    120,272 |
| . (Files)                                                                                                                              |          1 |     11,362 |         30 |        755 |     12,147 |
| wp-content                                                                                                                             |         41 |     81,685 |        417 |      2,390 |     84,492 |
| wp-content\plugins                                                                                                                     |         32 |     30,526 |        109 |         64 |     30,699 |
| wp-content\plugins\elementor                                                                                                           |         12 |     11,287 |          9 |         13 |     11,309 |
| wp-content\plugins\elementor\assets                                                                                                    |         12 |     11,287 |          9 |         13 |     11,309 |
| wp-content\plugins\elementor\assets\js                                                                                                 |          6 |      7,132 |          6 |          7 |      7,145 |
| wp-content\plugins\elementor\assets\lib                                                                                                |          6 |      4,155 |          3 |          6 |      4,164 |
| wp-content\plugins\elementor\assets\lib\animations                                                                                     |          1 |      1,154 |          0 |          1 |      1,155 |
| wp-content\plugins\elementor\assets\lib\dialog                                                                                         |          1 |        549 |          2 |          1 |        552 |
| wp-content\plugins\elementor\assets\lib\eicons                                                                                         |          1 |      1,409 |          1 |          1 |      1,411 |
| wp-content\plugins\elementor\assets\lib\eicons\css                                                                                     |          1 |      1,409 |          1 |          1 |      1,411 |
| wp-content\plugins\elementor\assets\lib\share-link                                                                                     |          1 |        121 |          0 |          1 |        122 |
| wp-content\plugins\elementor\assets\lib\swiper                                                                                         |          1 |        464 |          0 |          1 |        465 |
| wp-content\plugins\elementor\assets\lib\swiper\css                                                                                     |          1 |        464 |          0 |          1 |        465 |
| wp-content\plugins\elementor\assets\lib\waypoints                                                                                      |          1 |        458 |          0 |          1 |        459 |
| wp-content\plugins\neuros-plugin                                                                                                       |          4 |      4,195 |         77 |         35 |      4,307 |
| wp-content\plugins\neuros-plugin\js                                                                                                    |          4 |      4,195 |         77 |         35 |      4,307 |
| wp-content\plugins\neuros-plugin\js (Files)                                                                                            |          2 |        494 |         52 |         31 |        577 |
| wp-content\plugins\neuros-plugin\js\lib                                                                                                |          2 |      3,701 |         25 |          4 |      3,730 |
| wp-content\plugins\woocommerce                                                                                                         |          9 |      6,292 |         20 |         10 |      6,322 |
| wp-content\plugins\woocommerce\assets                                                                                                  |          9 |      6,292 |         20 |         10 |      6,322 |
| wp-content\plugins\woocommerce\assets\client                                                                                           |          1 |        536 |          0 |          1 |        537 |
| wp-content\plugins\woocommerce\assets\client\blocks                                                                                    |          1 |        536 |          0 |          1 |        537 |
| wp-content\plugins\woocommerce\assets\css                                                                                              |          3 |      4,036 |          0 |          3 |      4,039 |
| wp-content\plugins\woocommerce\assets\js                                                                                               |          5 |      1,720 |         20 |          6 |      1,746 |
| wp-content\plugins\woocommerce\assets\js\frontend                                                                                      |          2 |        202 |          0 |          2 |        204 |
| wp-content\plugins\woocommerce\assets\js\jquery-blockui                                                                                |          1 |        449 |         13 |          1 |        463 |
| wp-content\plugins\woocommerce\assets\js\jquery-cookie                                                                                 |          1 |         73 |          7 |          1 |         81 |
| wp-content\plugins\woocommerce\assets\js\sourcebuster                                                                                  |          1 |        996 |          0 |          2 |        998 |
| wp-content\plugins\wpforms-lite                                                                                                        |          7 |      8,752 |          3 |          6 |      8,761 |
| wp-content\plugins\wpforms-lite\assets                                                                                                 |          7 |      8,752 |          3 |          6 |      8,761 |
| wp-content\plugins\wpforms-lite\assets\css                                                                                             |          1 |      5,201 |          0 |          1 |      5,202 |
| wp-content\plugins\wpforms-lite\assets\css\frontend                                                                                    |          1 |      5,201 |          0 |          1 |      5,202 |
| wp-content\plugins\wpforms-lite\assets\css\frontend\modern                                                                             |          1 |      5,201 |          0 |          1 |      5,202 |
| wp-content\plugins\wpforms-lite\assets\images                                                                                          |          1 |          1 |          0 |          0 |          1 |
| wp-content\plugins\wpforms-lite\assets\js                                                                                              |          4 |      2,318 |          0 |          4 |      2,322 |
| wp-content\plugins\wpforms-lite\assets\js\frontend                                                                                     |          2 |      2,223 |          0 |          2 |      2,225 |
| wp-content\plugins\wpforms-lite\assets\js\integrations                                                                                 |          1 |         30 |          0 |          1 |         31 |
| wp-content\plugins\wpforms-lite\assets\js\integrations\elementor                                                                       |          1 |         30 |          0 |          1 |         31 |
| wp-content\plugins\wpforms-lite\assets\js\share                                                                                        |          1 |         65 |          0 |          1 |         66 |
| wp-content\plugins\wpforms-lite\assets\lib                                                                                             |          1 |      1,232 |          3 |          1 |      1,236 |
| wp-content\themes                                                                                                                      |          6 |     40,285 |        308 |      2,323 |     42,916 |
| wp-content\themes\krishsatasiya                                                                                                        |          6 |     40,285 |        308 |      2,323 |     42,916 |
| wp-content\themes\krishsatasiya\css                                                                                                    |          2 |     36,938 |        250 |      2,239 |     39,427 |
| wp-content\themes\krishsatasiya\js                                                                                                     |          4 |      3,347 |         58 |         84 |      3,489 |
| wp-content\uploads                                                                                                                     |          3 |     10,874 |          0 |          3 |     10,877 |
| wp-content\uploads\elementor                                                                                                           |          3 |     10,874 |          0 |          3 |     10,877 |
| wp-content\uploads\elementor\css                                                                                                       |          3 |     10,874 |          0 |          3 |     10,877 |
| wp-includes                                                                                                                            |         13 |     23,469 |        142 |         22 |     23,633 |
| wp-includes\css                                                                                                                        |          1 |      4,353 |         10 |          1 |      4,364 |
| wp-includes\css\dist                                                                                                                   |          1 |      4,353 |         10 |          1 |      4,364 |
| wp-includes\css\dist\block-library                                                                                                     |          1 |      4,353 |         10 |          1 |      4,364 |
| wp-includes\js                                                                                                                         |         12 |     19,116 |        132 |         21 |     19,269 |
| wp-includes\js (Files)                                                                                                                 |          3 |      1,681 |          5 |          4 |      1,690 |
| wp-includes\js\jquery                                                                                                                  |          3 |      7,248 |        105 |          4 |      7,357 |
| wp-includes\js\jquery (Files)                                                                                                          |          2 |      6,266 |          2 |          3 |      6,271 |
| wp-includes\js\jquery\ui                                                                                                               |          1 |        982 |        103 |          1 |      1,086 |
| wp-includes\js\mediaelement                                                                                                            |          6 |     10,187 |         22 |         13 |     10,222 |
| wp-includes\js\mediaelement (Files)                                                                                                    |          5 |      9,768 |         11 |         12 |      9,791 |
| wp-includes\js\mediaelement\renderers                                                                                                  |          1 |        419 |         11 |          1 |        431 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\index.html                                                                            | HTML       |     11,362 |         30 |        755 |     12,147 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\accordion.8799675460c73eb48972.bundle.min.js   | JavaScript |        179 |          1 |          1 |        181 |
| d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\plugins\elementor\assets\js\frontend-modules.min.js                        | JavaScript |      3,514 |          1 |          1 |      3,516 |
